series,baker_first,baker_last,age,technical_winner,technical_top3,nstar_baker,bread_star_baker,series_winner
10,alice,fevronia,28,2,4,2,0,0
7,andrew,smyth,25,2,5,2,0,0
7,benjamina,ebuehi,23,1,4,1,0,0
3,brendan,lynch,63,2,6,2,0,0
9,briony,williams,33,2,4,1,0,0
7,candice,brown,31,1,7,3,0,1
5,chetna,makan,35,1,5,1,0,0
4,christine,wallace,66,1,2,2,0,0
9,dan,beasley-harling,36,1,3,1,0,0
10,dan,chambers,32,0,0,1,0,0
3,danny,bryden,45,0,5,1,0,0
4,frances,quinn,31,1,7,1,0,1
10,henry,bird,20,2,5,1,0,0
2,holly,bell,31,2,5,2,0,0
2,ian,vallance,40,0,1,3,1,0
6,ian,cumming,41,1,6,3,1,0
3,james,morton,21,5,7,3,0,0
8,james,hillery,46,0,3,3,0,0
7,jane,beedle,61,2,5,1,0,0
2,janet,basu,63,1,1,1,0,0
2,jason,white,19,1,2,1,0,0
2,joanne,wheatley,41,3,4,1,0,1
3,john,whaite,22,1,6,1,1,1
8,julia,chernogorova,21,0,3,1,1,0
5,kate,henry,41,1,2,2,0,0
7,kate,barmby,37,1,1,2,0,0
8,kate,lyon,29,1,3,2,0,0
9,kim-joy,hewlett,27,1,3,2,0,0
4,kimberley,wilson,30,3,5,2,0,0
8,liam,charles,19,0,3,1,0,0
5,luis,troyano,42,1,7,1,1,0
9,manon,lagrève,26,0,3,1,0,0
6,marie,campbell,66,0,1,1,0,0
6,mat,riley,37,1,1,1,0,0
7,michael,georgiou,20,0,1,1,1,0
10,michael,chakraverty,26,0,0,1,1,0
10,michelle,evans-fecci,35,0,0,1,0,0
6,nadiya,hussain,30,4,4,3,0,1
5,nancy,birtwhistle,60,3,7,1,0,1
9,rahul,mandal,30,1,5,2,1,1
5,richard,burr,38,2,4,5,0,0
2,robert,billington,25,0,2,1,0,0
4,robert,smart,54,1,3,1,0,0
4,ruby,tandoh,20,2,6,5,1,0
9,ruby,bhogal,29,3,7,5,1,0
3,ryan,chong,38,0,0,1,0,0
8,sophie,faldo,33,2,6,2,0,1
8,stacey,hart,42,2,4,1,0,0
10,steph,blackwell,28,1,6,4,0,0
8,steven,carter-bailey,34,3,6,3,0,0
6,tamal,ray,29,0,4,1,0,0
7,tom,gilliford,26,1,2,2,1,0
8,tom,hetherington,29,0,0,2,1,0
3,victoria,chester,50,0,0,1,0,0
2,yasmin,limbert,43,0,2,1,1,0
1,annetha,mills,30,0,1,0,0,0
1,david,chambers,31,0,1,0,0,0
1,edward,kimber,24,2,4,0,0,1
1,jasminder,randhawa,45,0,2,0,0,0
1,jonathan,shepherd,25,1,1,0,0,0
1,lea,harris,51,0,0,0,0,0
1,louise,brimelow,44,0,0,0,0,0
1,mark,whithers,48,0,0,0,0,0
1,miranda,browne,37,2,4,0,0,0
1,ruth,clemens,31,0,2,0,0,0
2,ben,frazer,31,1,3,0,0,0
2,keith,batsford,31,0,0,0,0,0
2,mary-anne,boermans,45,0,4,0,0,0
2,simon,blackwell,31,0,0,0,0,0
2,urvashi,roe,40,0,0,0,0,0
3,cathryn,dresser,27,1,4,0,0,0
3,manisha,parmar,27,0,0,0,0,0
3,natasha,stringer,36,0,0,0,0,0
3,peter,maloney,43,0,1,0,0,0
3,sarah-jane,willis,28,1,1,0,0,0
3,stuart,marston-smith,26,0,0,0,0,0
4,ali,imdad,25,0,0,0,0,0
4,beca,lyne-pirkis,31,1,3,0,0,0
4,deborah,manger,51,0,0,0,0,0
4,glenn,cosby,37,1,3,0,0,0
4,howard,middleton,51,0,0,0,0,0
4,lucy,bellamy,38,0,1,0,0,0
4,mark,onley,37,0,0,0,0,0
4,toby,waterworth,30,0,0,0,0,0
5,claire,goodwin,31,0,0,0,0,0
5,diana,beard,69,0,0,0,0,0
5,enwezor,nzegwu,39,0,0,0,0,0
5,iain,watters,31,0,0,0,0,0
5,jordan,cox,32,0,0,0,0,0
5,martha,collison,17,2,5,0,0,0
5,norman,calder,66,0,0,0,0,0
6,alvin,magallanes,37,0,1,0,0,0
6,dorret,conway,53,1,1,0,0,0
6,flora,shedden,19,1,7,0,0,0
6,paul,jagger,49,1,3,0,0,0
6,sandy,docherty,49,0,0,0,0,0
6,stu,henshall,35,0,0,0,0,0
6,ugnė,bubnaityte,32,1,2,0,0,0
7,lee,banfield,67,0,0,0,0,0
7,louise,williams,46,0,0,0,0,0
7,rav,bansal,28,0,1,0,0,0
7,selasi,gbormittah,30,1,3,0,0,0
7,valerie,stones,66,1,1,0,0,0
8,chris,geiger,50,0,0,0,0,0
8,flo,atkins,71,0,0,0,0,0
8,peter,abatan,52,0,0,0,0,0
8,chuen-yan,tsou,46,2,2,0,0,0
9,antony,amourdoux,30,0,0,0,0,0
9,imelda,mccarron,33,0,0,0,0,0
9,jon,jenkins,47,1,4,0,0,0
9,karen,wright,60,0,0,0,0,0
9,luke,thompson,30,0,0,0,0,0
9,terry,hartill,56,1,1,0,0,0
10,amelia,bruin,24,0,0,0,0,0
10,david,atherton,36,2,8,0,0,1
10,helena,garcia,40,1,1,0,0,0
10,jamie,finn,20,0,0,0,0,0
10,phil,thorne,56,0,1,0,0,0
10,priya,o'shea,34,0,1,0,0,0
10,rosie,brandreth-poynter,28,2,4,0,0,0
